Name; Adresse; Ansprechpartner; E-mail; Webseite; Ortsteil
8. Schule - Grundschule der Stadt Leipzig; Wincklerstraße 3/5, 04279, Leipzig; n.n.; leipzig-8.grundschule@t-online.de; http//www.grundschule-8-leipzig.de/; Dölitz-Dösen, Süd
85. Schule - Grundschule der Stadt Leipzig; Stuttgarter Allee 3, 04209, Leipzig; n/a; Leipzig-85.gs@t-online.de; http//85gs.wordpress.com; Grünau-Mitte, West
9. Schule - Grundschule der Stadt Leipzig; Gersterstraße 74, 04279, Leipzig; n/a; sekretariat@9-grundschule.lernsax.de; www.9-grundschule-leipzig.de; Dölitz-Dösen, Süd
90. Schule - Grundschule der Stadt Leipzig; Garskestraße 21, 04205, Leipzig; n/a; Gs-90@t-online.de; n/a; Schönau, West
91. Schule - Grundschule der Stadt Leipzig; Uranusstraße 1, 04205, Leipzig; n/a; post@91-gs.l.sn.schule.de; http//www.91schule-leipzig.de/; Grünau-Nord, West
Adam-Friedrich-Oeser-Schule - Grundschule der Stadt Leipzig; Geibelstraße 74, 04129, Leipzig; n/a; gsoeser@t-online.de; http//www.oeserschule-leipzig.de/; Eutritzsch, Nord
Alfred-Kästner-Schule - Grundschule der Stadt Leipzig; Gartenwinkel 30, 04158, Leipzig; n.n.; Alfred-kaestner-gs-leipzig@t-online.de; www.alfred-kaestner-grundschule.de; Lindenthal, Nordwest
Anna-Magdalena-Bach-Schule - Grundschule der Stadt Leipzig; Manetstraße 8, 04109, Leipzig; n/a; a.m.bach-schule@t-online.de; www.amb-grundschule-leipzig.de; Zentrum-West, Mitte
Astrid-Lindgren-Schule - Grundschule der Stadt Leipzig; Volksgartenstraße 16, 04347, Leipzig; n/a; sekretariat@grusalei.de; www.astrid-lindgren-schule-leipzig.de; Schönefeld-Ost, Nordost
August-Bebel-Schule - Grundschule der Stadt Leipzig; Husemannstraße 2, 04315, Leipzig; n/a; mail@bebel-grundschule.de; http//www.sn.schule.de/~gs-bebel-l/; Neustadt-Neuschönefeld, Ost
Brüder-Grimm-Schule - Grundschule der Stadt Leipzig; Goldsternstraße 23, 04329, Leipzig; n/a; bruedergrimmgrundschule@t-online.de; www.grimmschule-leipzig.de; Paunsdorf, Ost
Carl-von-Linné-Schule - Grundschule der Stadt Leipzig; Delitzscher Straße 110, 04129, Leipzig; n/a; linneschule@t-online.de; http//www.linne-schule.de/; Eutritzsch, Nord
Christoph-Arnold-Schule - Grundschule der Stadt Leipzig; Gaswerksweg 1, 04319, Leipzig; n/a; Christoph-arnold-gs@t-online.de; http//www.christoph-arnold-schule.de/; Engelsdorf, Ost
Clara-Wieck-Schule - Grundschule der Stadt Leipzig; Stöckelstraße 45, 04347, Leipzig; n/a; sekretariat@clara-wieck-schule.de; www.clara-wieck-schule.de; Schönefeld-Ost, Nordost
Erich Kästner-Schule - Grundschule der Stadt Leipzig; Erfurter Straße 9, 04155, Leipzig; n/a; kaestnerschule@t-online.de; http//www.kaestnerschule.de/; Gohlis-Süd, Nord
Erich-Zeigner-Schule - Grundschule der Stadt Leipzig; Erich-Zeigner-Allee 24/26, 04229, Leipzig; n/a; Erich-zeigner-gs-leipzig@t-online.de; http//www.erich-zeigner-grundschule.de/; Plagwitz, Südwest
Ernst-Pinkert-Schule - Grundschule der Stadt Leipzig; Martinstraße 7, 04318, Leipzig; n/a; kontakt@ernstpinkert-schule.de; www.ernstpinkert-schule.de; Anger-Crottendorf, Ost
Fanny-Hensel-Schule - Grundschule der Stadt Leipzig; Weißenfelser Straße 13, 04229, Leipzig; n/a; fanny-hensel-schule-leipzig@t-online.de; www.gs-fanny-hensel.de; Plagwitz, Südwest
Franz-Mehring-Schule - Grundschule der Stadt Leipzig; Gletschersteinstraße 9, 04299, Leipzig; n/a; franz-mehring-grundschule@t-online.de; http//cms.sn.schule.de/fms; Stötteritz, Südost
Freier Träger - AHF Grundschule; Puschstraße 9, 04103, Leipzig; n/a; info@ahfgrundschule.de; http//www.ahfgrundschule.de/schule.html; Zentrum-Südost, Mitte
Freier Träger - Aktive Schule Leipzig; Eisenacher Straße 40a, 04155, Leipzig; n/a; kontakt@aktive-schule-leipzig.de; http//www.aktive-schule-leipzig.de/; Gohlis-Süd, Nord
Freier Träger - BIP-Kreativitätsgrundschule und -gymnasium; Torgauer Straße 114, 04347, Leipzig; Grundschule; sekretariat@bipschulen.de; www.bipschulen.de; Sellerhausen-Stünz, Ost
Freier Träger - Bischöfliches Maria-Montessori-Schulzentrum Leipzig; Alte Salzstraße 61/65, 04209, Leipzig; Grundschule; maria@montessori-leipzig.de; http//www.montessori-leipzig.de/; Grünau-Ost, West
Freier Träger - DPFA-Regenbogen-Grundschule Leipzig; Raschwitzer Straße 15, 04279, Leipzig; n/a; leipzig.grundschule@dpfa.de; http//www.dpfa.de; Lößnig, Süd
Freier Träger - Evangelisches Schulzentrum; Schletterstraße 7, 04107, Leipzig; Herr Hanschmann; eva@schulzentrum.de; http//www.schulzentrum.de/; Zentrum-Süd, Mitte
Freier Träger - Freie Schule Leipzig e.V.; Alte Salzstraße 67, 04209, Leipzig; n.n.; kontakt@freie-schule-leipzig.de; http//www.freie-schule-leipzig.de/; Grünau-Ost, West
Freier Träger - Freie Waldorfschule Leipzig; Berthastraße 15, 04357, Leipzig; n.n.; kontakt@waldorfschule-leipzig.de; http//www.waldorfschule-leipzig.de/; Mockau-Süd, Nordost
Freier Träger - Grundschule Auguste; Grüne Gasse 21b, 04318, Leipzig; n.n.; auguste@schugel.de; http//www.schugel.de/Schulen_fur_gemeinschaftliches_Lernen/Grundschule_Auguste.html; Anger-Crottendorf, Ost
Freier Träger - Grundschule forum thomanum; Sebastian-Bach-Straße 1, 04109, Leipzig; n/a; grundschule@forum-thomanum.de; http//www.forum-thomanum.de/; Gohlis-Nord, Mitte, Zentrum-West
Freier Träger - Karl-Schubert-Schule; Raschwitzer Straße 4, 04279, Leipzig; Frau Birgit Thiemann; Kontakt@karl-schubert-schule-leipzig.de; http//www.karl-schubert-schule-leipzig.de/; Lößnig, Süd
Freier Träger - Leipzig International School e.V.; Könneritzstraße 47, 04229, Leipzig; Frau Dr. Antje Niven; info@lis.school; http//www.lis.school; Schleußig, Südwest
Freier Träger - Rahn Education - Freie Grundschule Clara Schumann; Inselstraße 18, 04103, Leipzig; n/a; grundschule-lpz@rahn.education; https//rahn.education/freie-grundschule-clara-schumann-in-leipzig.html; Zentrum-Ost, Mitte
Friedrich-Fröbel-Schule - Grundschule der Stadt Leipzig; Mannheimer Straße 128 c, 04209, Leipzig; n/a; Froebelschule-leipzig@t-online.de; www.froebel-schule-leipzig.de; Grünau-Mitte, West
Fritz-Baumgarten-Schule - Grundschule der Stadt Leipzig; Riebeckstraße 50, 04317, Leipzig; n/a; Gsl77@t-online.de; http//www.sn.schule.de/~gs77l/; Reudnitz-Thonberg, Südost
Geschwister-Scholl-Schule - Grundschule der Stadt Leipzig; Elsbethstraße 1, 04155, Leipzig; n/a; Geschwister-scholl-gs-leipzig@t-online.de; http//geschwister-scholl-grundschule.jimdo.com; Gohlis-Süd, Nord
Hans-Christian-Andersen-Schule - Grundschule der Stadt Leipzig; Louis-Fürnberg-Straße 2, 04318, Leipzig; n/a; Gs-andersen@t-online.de; http//cms.sn.schule.de/gsandersen; Sellerhausen-Stünz, Ost
Hans-Kroch-Schule - Grundschule der Stadt Leipzig; Jörgen-Schmidtchen-Weg 8, 04157, Leipzig; n/a; hans-kroch-gs-leipzig@t-online.de; www.hans-kroch-schule.de; Gohlis-Nord, Nord
Heinrich-Mann-Schule - Grundschule der Stadt Leipzig; Schwarzenbergweg 4, 04289, Leipzig; n/a; Heinrich-mann-schule-leipzig@t-online.de; http//www.heinrich-mann-grundschule.de/; Meusdorf, Südost
Joachim-Ringelnatz-Schule - Grundschule der Stadt Leipzig; Grünauer Allee 35, 04209, Leipzig; n/a; Ringelnatzschule-Leipzig@t-online.de; n/a; Grünau-Ost, West
Karl-Liebknecht-Schule - Grundschule der Stadt Leipzig; Heinrich-Mann-Straße 1, 04157, Leipzig; n/a; karli-gs@t-online.de; http//www.karl-liebknecht-schule.de/; Gohlis-Nord, Nord
Kurt-Masur-Schule - Grundschule der Stadt Leipzig; Scharnhorststraße 24, 04275, Leipzig; n/a; info@kurt-masur-schule.de; http//www.drittegrundschule.de/; Südvorstadt, Süd
Lessingschule - Grundschule der Stadt Leipzig; Lessingstraße 27, 04109, Leipzig; n/a; info@lessing-grundschule.de; http//www.lessing-grundschule.de/; Zentrum-West, Mitte
Marienbrunner Schule - Grundschule der Stadt Leipzig; An der Märchenwiese 49, 04277, Leipzig; n/a; Marienbrunner-grundschule@t-online.de; http//cms.sachsen.schule/gsmbsl/; Marienbrunn, Süd
Pablo-Neruda-Schule - Grundschule der Stadt Leipzig; Tarostraße 6, 04103, Leipzig; n/a; grundschule@franz-leipzig.eu; http//www.pablo-neruda-schule.de/; Zentrum-Südost, Mitte
Paul-Robeson-Schule - Grundschule der Stadt Leipzig; Jungmannstraße 5, 04159, Leipzig; n/a; Paul-robeson-gs-leipzig@web.de; www.sn.schule.de/~robeson-gs-l/; Wahren, Nordwest
Schule 5 im Stadtbezirk Mitte - Grundschule der Stadt Leipzig; Eitingonsstraße 5, 04105, Leipzig; n/a; Schule5@t-online.de; www.schule5.de; Zentrum-Nordwest, Mitte
Schule am Adler - Grundschule der Stadt Leipzig; Antonienstraße 24, 04229, Leipzig; n/a; Gs-am-adler@t-online.de; www.grundschule-am-adler.de; Plagwitz, Südwest
Schule am Auwald - Grundschule der Stadt Leipzig; Rödelstraße 6, 04229, Leipzig; n/a; gs-auwald@t-online.de; http//www.schule-am-auwald.de/; Schleußig, Südwest
Schule am Floßplatz - Grundschule der Stadt Leipzig; Hohe Straße 45, 04107, Leipzig; n/a; schuleamflossplatz-gs-@t-online.de; http//www.sn.schule.de/~gs-flossplatz/; Zentrum-Süd, Mitte
Schule am Leutzscher Holz - Grundschule der Stadt Leipzig; Prießnitzstraße 19, 04179, Leipzig; n/a; Grundschule-172@t-online.de; http//www.sn.schule.de/~gs172l/; Altlindenau, Alt-West
Schule am Rabet - Grundschule der Stadt Leipzig; Eisenbahnstraße 50, 04315, Leipzig; n/a; SchuleamRabet@t-online.de; www.schule-am-rabet.de; Neustadt-Neuschönefeld, Ost
Schule Böhlitz-Ehrenberg - Grundschule der Stadt Leipzig; Heinrich-Heine-Straße 64, 04178, Leipzig; n/a; Grundschule-boehlitz-ehrenberg@t-online.de; n/a; Böhlitz-Ehrenberg, Alt-West
Schule Connewitz - Grundschule der Stadt Leipzig; Zwenkauer Straße 35, 04277, Leipzig; n/a; schule-connewitz@gmx.de; cms.sachsen.schule/gslconnewitz; Connewitz, Süd
Schule Gundorf - Grundschule der Stadt Leipzig; Leipziger Straße 210, 04178, Leipzig; n/a; Grundschule.gundorf@t-online.de; http//www.grundschule-gundorf.de/; Böhlitz-Ehrenberg, Alt-West
Schule Holzhausen - Grundschule der Stadt Leipzig; Stötteritzer Landstraße 21, 04288, Leipzig; n/a; gsholzhausen@t-online.de; http//cms.sachsen.schule/gsholzhausen/; Holzhausen, Südost
Schule Liebertwolkwitz - Grundschule der Stadt Leipzig; Am Angerteich 2, 04288, Leipzig; n/a; schule-liebertwolkwitz@gmx.de; www.gslw.com.de; Liebertwolkwitz, Südost
Schule Miltitz - Grundschule der Stadt Leipzig; Großmiltitzer Straße 4, 04205, Leipzig; n.n.; schule-miltitz@t-online.de; n/a; Miltitz, West
Schule Mölkau - Grundschule der Stadt Leipzig; Schulstraße 6, 04316, Leipzig; n/a; gsmoelkau@t-online.de; http//cms.sn.schule.de/gsmoelkau/; Mölkau, Ost
Schule Portitz - Grundschule der Stadt Leipzig; Göbschelwitzer Weg 1, 04349, Leipzig; n/a; Gsportitz@t-online.de; www.grundschule-portitz.de; Plaußig-Portitz, Nordost
Schule Rückmarsdorf - Grundschule der Stadt Leipzig; An der Friedenseiche 4, 04178, Leipzig; n/a; Gs-rueckmarsdorf@t-online.de; http//www.grundschule-rueckmarsdorf.de/; Burghausen-Rückmarsdorf, Alt-West
Schule Seehausen - Grundschule der Stadt Leipzig; Seehausener Allee 17, 04356, Leipzig; n/a; Schule-seehausen@t-online.de; www.schule-seehausen.de; Seehausen, Nord
Schule Stahmeln - Grundschule der Stadt Leipzig; Stahmelner Höhe 1, 04159, Leipzig; n/a; Grundschule-stahmeln@t-online.de; https//cms.sachsen.schule/gsstahmeln; Lützschena-Stahmeln, Nordwest
Schule Wiederitzsch - Grundschule der Stadt Leipzig; Zur Schule 11, 04158, Leipzig; n/a; grundschule-wiederitzsch@t-online.de; http//www.grundschule-wiederitzsch.de/; Wiederitzsch, Nord
Theodor-Körner-Schule - Grundschule der Stadt Leipzig; Schlehenweg 32, 04329, Leipzig; n/a; Th.-koerner-schule@t-online.de; http//www.sn.schule.de/~gskoernl/; Paunsdorf, Ost
Wilhelm-Busch-Schule - Grundschule der Stadt Leipzig; Heinrichstraße 43/45, 04317, Leipzig; n/a; Wilhelm-busch-schule-leipzig@t-online.de; https//cms.sachsen.schule/gslwb; Reudnitz-Thonberg, Südost
Wilhelm-Hauff-Schule - Grundschule der Stadt Leipzig; Diderot Straße 37, 04159, Leipzig; n/a; W.-Hauff-Grundschule@t-online.de; http//cms.sn.schule.de/hauffgs; Möckern, Nordwest
Wilhelm-Wander-Schule - Grundschule der Stadt Leipzig; Schulze-Delitzsch-Straße 23, 04315, Leipzig; n/a; WI-wa-schule@t-online.de; http//cms.sn.schule.de/gswiwa/; Neustadt-Neuschönefeld, Ost
