Name; Adresse; Ansprechpartner; E-mail; Webseite; Ortsteil
Freier Träger - Beruflich - Euro-Schulen gGmbH; Rosa-Luxemburg-Straße 23, 04103, Leipzig; n/a; leipzig@euroakademie.de; http//www.euroakademie.de/leipzig; Zentrum-Ost, Mitte
Freier Träger - Beruflich - Europäisches Bildungswerk für Beruf und Gesellschaft e.V.; Hohmannstraße 7, 04129, Leipzig; n.n.; fs-leipzig@ebg.de; http//www.ebg.de/; Eutritzsch, Nord
Freier Träger - Beruflich - Ev. Diakonissenkrankenhaus Leipzig; Georg-Schwarz-Straße 49, 04177, Leipzig; n.n.; friederike.baumgaertel@diako-leipzig.de; http//www.diako-leipzig.de/; Altlindenau, Alt-West
Freier Träger - Beruflich - GBS - gemeinnützige GmbH für techn. und kaufmännische berufsbildende Schulen Leipzig; Mahlmannstraße 1-3, 04107, Leipzig; n.n.; info@gbsleipzig.de; http//www.gbsleipzig.de/; Zentrum-Süd, Mitte
Freier Träger - Beruflich - HUMANA gGmbH Leipzig; Comeniusstraße 17, 04315, Leipzig; n.n.; leipzig@blindow.de; http//blindow.de/leipzig-bbs; Neustadt-Neuschönefeld, Ost
Freier Träger - Beruflich - IB Gesellschaft für interdisziplinäre Studien mbH; Grassistraße 12, 04107, Leipzig; n/a; leipzig@ib-med-akademie.de; http//www.med-akademie.de; Zentrum-Süd, Mitte
Freier Träger - Beruflich - Johanniter-Unfall-Hilfe e. V.; Witzgallstraße 20, 04317, Leipzig; n/a; Bildungsinstitiut-mitteldeutschland@johanniter.de; http//www.bildungsinstitut-mitteldeutschland.de; Reudnitz-Thonberg, Südost
Freier Träger - Beruflich - Kulturhafen am Riverboat; Erich-Zeigner-Allee 45, 04229, Leipzig; n.n.; info@musifa.de; http//www.musifa.de; Plagwitz, Südwest
Freier Träger - Beruflich - Leibnizeum Aus- und Weiterbildung Dr. Gröbke; Theodor-Heuss-Straße 30, 04328, Leipzig; n.n.; leibnizeum@gmail.de; http//www.leibnizeum.de; Sellerhausen-Stünz, Ost
Freier Träger - Beruflich - Rahn Education - Freie Fachoberschule Leipzig; Inselstraße 20, 04103, Leipzig; n/a; fachoberschule-lpz@rahn.education; https//rahn.education/freie-fachoberschule-leipzig.html; Zentrum-Ost, Mitte
Freier Träger - Beruflich - St. Elisabeth Krankenhaus Leipzig; Biedermannstraße 84, 04277, Leipzig; n.n.; ausbildung@ek-leipzig.de; http//www.ek-leipzig.de/; Connewitz, Süd
Freier Träger - Beruflich - Theater-Fabrik-Sachsen GmbH; Franz-Flemming-Straße 16, 04179, Leipzig; n.n.; info@schauspielschule.info; www.schauspielschule.info; Leutzsch, Alt-West
Freier Träger - Beruflich - Universitätsklinikum Leipzig AöR; Richterstraße 9-11, 04105, Leipzig; n.n.; mbfs@medizin.uni-leipzig.de; http//mbfs.uniklinikum-leipzig.de/; Zentrum-Nord, Mitte
Freier Träger - Beruflich - UNIVERSUM - Private Berufsbildungs-Akademie; Angerstraße 42E, 04177, Leipzig; n.n.; info@universum-akademie.de; http//universum-akademie.de; Altlindenau, Alt-West
Freier Träger - Beruflich - Verein für Motivation, Kommunikation und berufliche Bildung e. V.; Geithainer Straße 7-9, 04328, Leipzig; n/a; leipzig@vmkb.de; http//www.vmkb.de/; Sellerhausen-Stünz, Ost
Freier Träger - Beruflich - WBS Training Schulen gGmbH; Brühl 67, 04109, Leipzig; Träger; info@wbstraining.de; http//www.wbs-schulen.de; Zentrum, Mitte
Gutenbergschule - Berufliches Schulzentrum der Stadt Leipzig; Gutenbergplatz 4/8, 04103, Leipzig; n/a; Gutenbergschule-leipzig@t-online.de; http//www.gutenbergschule-leipzig.de/; Zentrum-Ost, Mitte
Henriette-Goldschmidt-Schule - Berufliches Schulzentrum der Stadt Leipzig; Goldschmidtstraße 20, 04103, Leipzig; n/a; sekretariat@goldschmidtschule-leipzig.de; http//www.goldschmidtschule-leipzig.de/; Zentrum-Südost, Mitte
Karl-Heine-Schule - Berufliches Schulzentrum der Stadt Leipzig; Merseburger Straße 56/58, 04177, Leipzig; n/a; khs@bszkhs-leipzig.de; http//www.bszkhs-leipzig.de/; Alt-West, Lindenau
Medizinische Berufsfachschule am Klinikum St. Georg gGmbH der Stadt Leipzig; Delitzscher Straße 141, 04129, Leipzig; n/a; info@sanktgeorg.de; http//www.sanktgeorg.de; Eutritzsch, Nord
Ruth-Pfau-Schule - Berufliches Schulzentrum der Stadt Leipzig; Schönauer Straße 160, 04207, Leipzig; n/a; info@ruth-pfau-schule.de; http//www.ruth-pfau-schule.de/; Grünau-Ost, West
Susanna-Eger-Schule - Berufliches Schulzentrum der Stadt Leipzig; An der Querbreite 6, 04129, Leipzig; n/a; sekretariat@susanna-eger-schule.de; http//www.susanna-eger-schule.de/; Eutritzsch, Nord
