Streetwork Kontaktladen Straßensozialarbeit  |Eisenbahnstraße  ||04315  |Leipzig  |  |0341-6888189  |  |  |  |51.3460449,12.396363  |  |  |Sprechzeiten: Di 12-18 Uhr, Mi 18-20 Uhr, Do 16-18 Uhr; Streetmobil:~~~Di 20-22 Uhr Dresdner Str./ E[...]  | ||||||||||||||
SV Leipzig Ost 1858 e.V.  |Wurzner Straße  |140  |04315  |Leipzig  |info@sv-leipzig-ost-1858.de  |0341-2332406  |http://www.sv-leipzig-ost-1858.de  |  |  |51.343684,12.4211439  |  |  |  | ||||||||||||||
SV Reudnitz e.V.  |Breite Straße  |17  |04317  |Leipzig  |service@sv-reudnitz.de  |0341-2612919  |http://www.sv-reudnitz.de/  |  |  |51.3364159,12.4084803  |  |  |Volleyball für Männer, Frauen, Kinder und Senior/innen Training in unterschiedlichen Sporthallen im[...]  | ||||||||||||||
SV Tapfer 06 e.V.  |Torgauer Straße  |106  |04315  |Leipzig  |svo6@gmx.de  |0341-2323224  |http://www.svtapfer06.de/  |  |  |51.35094,12.42524  |  |  |Fußball für Groß und Klein  | ||||||||||||||
Takva Moschee  |Rosa-Luxemburg-Straße  |45a  |04315  |Leipzig  |  |  |  |  |  |51.3475821,12.3978589  |  |  |  | ||||||||||||||
TANGOMANIE  |Hans-Poeche-Straße  |2-4  |04315  |Leipzig  |anke@ballsaal-tangomanie.de  |0341-2235080  |http://www.tangomanie.com/  |Anke Hofmann  |  |51.344024,12.390701  |  |  |  | ||||||||||||||
tanzZenit e.V., Studio 1  |Lilienstraße  |27  |04315  |Leipzig  |undine.foerster@tanzzenit.de  |0341-5650504  |http://www.tanzzenit.de/  |  |  |51.3397702,12.406164  |  |images/tanzprobe_tanzzenit.jpg  |Pflege und Förderung des zeitgenössischen Tanzes als Bühnentanzform; speziell für junge Tänzerinnen [...]  | ||||||||||||||
Wächterhaus Lu99  |Ludwigstraße  |99  |04315  |Leipzig  |  |  |http://ludwig99.wordpress.com/  |  |  |51.34624,12.40891  |51.346228485346394,12.40903615951538  |images/waechterhaus.jpg  |  | ||||||||||||||
ZEOK-Zentrum für europäische und orientalische Kultur e.V. Zeok  |Dresdner Straße  |82  |04317  |Leipzig  |  |0341-5298027  |http://www.zeok.de  |  |  |51.3380105,12.4064493  |  |images/v_zeokk.jpg  |Der Verein setzt sich seit seiner Gründung 2004 für ein gegenseitiges Kennen Lernen, für einen Gedan[...]  | ||||||||||||||
Bülowviertel e.V.|Geißlerstraße|16|04315  |Leipzig  |buelowviertel-ev@web.de|0163-3068031||Frau Asena Katrin Kahraman|Vorstandsvorsitzende|51.3454846,12.4192774|||Auf Initiative der Eigentümer und mit Unterstützung von LWB, Haus und Grund Leipzig sowie der Stadt [...]   |||||||||||||||
Bürgertreff Volkmarsdorf   |Konradstraße|60A|04315  |Leipzig  ||||||51.3443835,12.4094453||images/v_buergertreff.jpg|Im Bürgertreff gibt es Treffs und Beratungsangebote, wie Seniorencafé, Literaturtreff, Deutsch-Kurse[...]|||||||||||||||
Bürgerverein Neustädter Markt e.V.|Schulze-Delitzsch-Straße|19|04315|Leipzig|bv-neustadt@gmx.de|0341-6811944|http://www.neustaedtermarkt-leipzig.de|Henry Hufenreuter||51.3484035,12.4025731||images/bt_neustaedter_markt-1_zuschnitt.jpg     ||||||||||||||||
Bürgerverein Ostvorstadt e.V.|Dresdner Straße/Vereinshaus|82|04315|Leipzig||0341-9939339|http://www.bvostvorstadt.de|||51.328771,12.4031917||images/v_bvostvorstadt.jpg|Der Bürgerverein versteht sich als Bindeglied zwischen den Bewohnern des Stadtteils und den kommunal[...]    |||||||||||||||
City Island-Zentrum für Tanz und Entspannung|Kohlgartenstraße|24 HH|04315|Leipzig||0341-9609112||||51.3426422,12.3976118||||||||||||||||||
Computerspielschule Leipzig|Kurt-Günther-Str.|5|04317|Leipzig||0341-2425976|http://www.computerspielschule.org|||51.32992,12.40698    |||||||||||||||||Mo+Di 14-18 Uhr, Do+Fr 14-19 Uhr|
CVJM Leipzig e.V.|Schönefelder Allee|23a|04347|Leipzig|norbert.rentsch@cvjm-leipzig.de|0341-26675540|http://www.cvjm-leipzig.de/|Norbert Rentsch||51.3572879,12.406701||images/cvjm.jpg  |Erreichbarkeit: Linie 1, Bus 70 Haltestelle Stannebeinplatz |||||||||||||||
Deutsch-russisches Hilfswerk zur Heiligen Alexandra|Dresdner Straße|82|04317|Leipzig|alexandra-e.v@gmx.de|0341-2566481||||51.3380105,12.4064493  ||images/v_drh.jpg|Bereits seit zehn Jahren besteht der gemeinnützige Verein, dessen wichtigstes Anliegen die Förderung[...]|||||||||||||||
FAIRbund e.V., Familienbildung|Eisenbahnstraße |66|04315|Leipzig|familienbildung@verein-fairbund.de|0341-6991484|http://www.verein-fairbund.de|Susanne Lose||||||||||||||||||||
Fanfarenzug des TSV Leipzig-Nordost e.V.|Eisenbahnstraße|128b|04315|Leipzig||0341-6897172|http://www.fanfarenzug-leipzig.de|Kerstin Ethner||51.34508,12.41241|| images/stadtteilfest_fanfarenzug.jpg||||||||||||||||
Filmschule Leipzig e.V.|Heinrichstraße|6|04317|Leipzig|FilmschuleLeipzig@web.de|0341-2119158|http://www.filmschule-leipzig.de/|Elenore Saldeck und Simone Bauer||51.33854,12.40155|||Wir arbeiten seit 1988 mit dem Medium Film, und zwar gemeinsam mit Kindern, Jugendlichen, Erwachsene[...]|||||||||||||||
Forum für Lebensenergie|Wiebelstraße|4a|04315|Leipzig|leipzig@forum-fuer-lebensenergie.de|0341-6818738|http://www.forum-fuer-lebensenergie.de/|Katja Bach||51.33967,12.40914||images/forum_fuer_lebensenergie.jpg|Meditation, kulturelles Leben, feinstoffliche Arbeit, Körperarbeit und Körperwahrnehmung, Kreativitä[...]|||||||||||||||
Forum Zeitgenössische Musik Leipzig FZML|Kohlgartenstraße|24|04317|Leipzig  ||0341-2469345|http://www.fzml.de|||51.3426882,12.3977436||||||||||||||||||
Galerie Hotel Leipziger Hof|Hedwigstraße|1-3|04315|Leipzig  |info.homepage@leipziger-hof.de|0341-69740|http://www.leipziger-hof.de/|||51.3458716,12.4031243||images/v_leipzigerhof.jpg|Biergarten, Restaurant, Galerie, Hotel|||||||||||||||
Internationale Frauen Leipzig e.V.|Konradstraße|60A|04315|Leipzig||0341-4686869|http://www.if-leipzig.de||||||Der Verein leistet Beratungsangebote für Frauen aller Nationen und bietet mit vielfältigen Angeboten[...]    |||||||||||||||
Kinder- und Jugendkulturzentrum O.S.K.A.R.|Gabelsbergerstraße|30|04317|Leipzig|JKZ_OSKAR@t-online.de|0341-6865680|http://www.oskarinleipzig.de|||51.3423148,12.3962446||images/oskar.jpg  |O.S.K.A.R. regt Kinder und Jugendliche an, sich in den Bereichen der bildenden und darstellenden Kun[...]   |||||||||||||||
Kindervereinigung Leipzig e.V. - KAOS-Spielmobil|Wasserstraße|18|04315|Leipzig||0341-4803841|http://www.kaos-leipzig.de|Christel Schlichting||51.3427458,12.3356255|51.343460736777914,12.409358024597168||Das Spielmobil ist jeden Mittwoch auf dem Platz an der Lukaskirche: 15.30 Uhr bis 18.30 Uhr (April –[...]   |||||||||||||||
Kirchgemeinde Neustadt Neuschönefeld|Neustädter Markt|8|04315|Leipzig||0341-6885162||||51.3478357,12.4039298||images/heilig-kreuz-kirche_2.jpg     ||||||||||||||||
Kirchgemeinde Sellerhausen-Volkmarsdorf|Juliusstraße|5|04315|Leipzig||0341-6881866|http://www.emmauslukas.de/|Angela Langner-Stephan|Pfarrerin|51.34094,12.4082|||Seelsorge und Begleitungfür Jugendgruppen: u.a. Konfirmandenunterricht, Jugendarbeit mit russland-de[...]   |||||||||||||||
Kreativstube|Zollikoferstraße|23  |04315|Leipzig|jmd@naomi-leipzig.de|0341-9610975|http://www.naomi-leipzig.de|||51.3438438,12.4093113||images/v_kreativstube.jpg|Leute treffen, Mut gewinnen, sägen, töpfern, filzen, spinnenteile Sachen und auch SorgenIn die Kreat[...]|||||||||||||||
Leipziger Tafel e.V., Tafelladen Ost|Eisenbahnstraße|149|04315|Leipzig||0176-1560031|http://www.leipziger-tafel.de|||51.34497,12.41953|||Der Verein Leipziger Tafel e.V. sammelt Lebensmittelspenden in Leipzig und Umgebung ein und verteilt[...]   |||||||||||||||
Mühlstraße 14 e.V.|Mühlstraße|14|04317|Leipzig|kontakt@muehlstrasse.de|0341-9903600|http://www.muehlstrasse.de/|Karin Hörning||51.3301054,12.4005823||images/muehlstrasse.jpg|Erreichbarkeit: Linie 4, Haltestelle Oststraße; Linie 15, Haltestelle Witzgallstraße Fax: 0341-99[...]   |||||||||||||||
Orange Guitar – Gitarrenschule|Bautzmannstraße|16|04315|Leipzig|info@orange-guitar.de  |0341-2230417|http://www.orange-guitar.de|||51.34561,12.41731|||Gitarrenspiel mit Akkorden lernen, Gitarrenspiel mit Akkorden und Noten mit gleichzeitiger Theoriesc[...] |||||||||||||||
Schumann-Haus|Inselstraße|18|04315|Leipzig||0341-39339620 ||||51.3406503,12.3908665 ||images/v_schumannhaus.jpg|Öffnungszeiten: Mi-Fr 14-17 Uhr, Sa-So 10-17 Uhr   |||||||||||||||
Quartiersmanagement Leipziger Osten, c/o InfoCenter Eisenbahnstraße|Eisenbahnstraße  |49|04315|Leipzig  |matthias.schirmer@leipziger-osten.de||http://www.leipziger-osten.de/index.asp|Matthias Schirmer|Stadtteilmoderator |51.3458318,12.4022419||images/ice.jpg|Das Quartiersmanagement regt Entwicklungen im Stadtteil an, koordiniert inhaltlich breit angelegte P[...]   |||||||||||||||
Seniorenheim Leipzig-Volkmarsdorf|Hermann-Liebmann-Straße|98|04315|Leipzig  |SHLeipzigvolkmarsdorf@SHSeniorenheime.de     |0341-4686780|http://www.hrseniorenheime.de/|||51.3470883,12.40616||||||||||||||||||
Sozialdiakonische Offene Jugendarbeit SOJA|Neustädter Markt|8|04315|Leipzig||0173-6983915||Thomas Donat||51.3478357,12.4039298||images/neustaedtermarkt8_00.jpg|SOJA ist ein offener Jugendtreff in Trägerschaft der Ev. Kirchgemeinden Sellerhausen-Volkmarsdorf un[...]|||||||||||||||
Sozialwarenhaus des ResozialisierungsHilfe Leipzig e.V.|Eisenbahnstraße|163-171|04315|Leipzig||||||51.3446283,12.4243784   |51.3450628793408,12.422382116164954|images/v_sozialwarenhaus_innen.jpg|Geöffnet: Di-Fr 11-18 Uhr Auf ca. 1000 m² gibt es gutes Gebrauchtes zum Selbstkostenpreis, wie Mö[...] |||||||||||||||
